"filename", "language", "HTML", "TypeScript JSX", "TypeScript", "XML", "PostCSS", "MS SQL", "Java", "Markdown", "comment", "blank", "total"
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/MaterialStockAdjustDTO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -19, 0, -8, -27
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/PageRequestDTO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -15, 0, -8, -23
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/Permission.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -19, 0, -8, -27
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/PermissionControllerApi.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -34, 0, -21, -55
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ProjectControllerApi.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -259, 0, -137, -396
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ProjectCreateDTO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -21, 0, -8, -29
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ProjectMemberVO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -17, 0, -8, -25
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ProjectTask.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -29, 0, -8, -37
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ProjectTaskControllerApi.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -149, 0, -80, -229
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ProjectTaskCreateDTO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -21, 0, -8, -29
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ProjectTaskUpdateDTO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -21, 0, -8, -29
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ProjectUpdateDTO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -25, 0, -8, -33
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ProjectVO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -31, 0, -8, -39
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ReportVersionCreateDTO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -13, 0, -8, -21
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ResourceRequestApproveDTO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -17, 0, -8, -25
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ResourceRequestControllerApi.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -147, 0, -80, -227
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ResourceRequestCreateDTO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -23, 0, -8, -31
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ResourceRequestQueryDTO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -19, 0, -8, -27
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ResourceRequestVO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -41, 0, -8, -49
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/RiskAssessmentControllerApi.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -110, 0, -61, -171
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/RiskAssessmentCreateDTO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -21, 0, -8, -29
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/RiskAssessmentVO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -29, 0, -8, -37
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/Role.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -17, 0, -8, -25
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/RoleControllerApi.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -106, 0, -59, -165
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/RoleCreateDTO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -15, 0, -8, -23
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/SafetyIncidentControllerApi.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -111, 0, -61, -172
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/SafetyIncidentCreateDTO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -19, 0, -8, -27
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/SafetyIncidentVO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -29, 0, -8, -37
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/Supplier.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -25, 0, -8, -33
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/SupplierControllerApi.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -185, 0, -99, -284
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/UploadAttachmentRequest.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -13, 0, -8, -21
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/UserControllerApi.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -221, 0, -118, -339
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/UserCreateDTO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -23, 0, -8, -31
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/UserUpdateDTO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -21, 0, -8, -29
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/UserVO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -29, 0, -8, -37
"/Users/karanocave/Code/SmartLabManagement/fronted/src/components/common/DataTable.tsx", "TypeScript JSX", 0, 35, 0, 0, 0, 0, 0, 0, -3, -2, 30
"/Users/karanocave/Code/SmartLabManagement/fronted/src/components/layout/AuthLayout.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, -7, -1, -7
"/Users/karanocave/Code/SmartLabManagement/fronted/src/components/layout/DashboardLayout.tsx", "TypeScript JSX", 0, 143, 0, 0, 0, 0, 0, 0, 9, -1, 151
"/Users/karanocave/Code/SmartLabManagement/fronted/src/index.css", "PostCSS", 0, 0, 0, 0, -45, 0, 0, 0, 18, -2, -29
"/Users/karanocave/Code/SmartLabManagement/fronted/src/main.tsx", "TypeScript JSX", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/karanocave/Code/SmartLabManagement/fronted/src/pages/audit/LogPage.tsx", "TypeScript JSX", 0, 124, 0, 0, 0, 0, 0, 0, 11, 15, 150
"/Users/karanocave/Code/SmartLabManagement/fronted/src/pages/auth/LoginPage.tsx", "TypeScript JSX", 0, 70, 0, 0, 0, 0, 0, 0, -12, -4, 54
"/Users/karanocave/Code/SmartLabManagement/fronted/src/pages/dashboard/OverviewPage.tsx", "TypeScript JSX", 0, 45, 0, 0, 0, 0, 0, 0, -1, -3, 41
"/Users/karanocave/Code/SmartLabManagement/fronted/src/pages/project/ProjectListPage.tsx", "TypeScript JSX", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 34
"/Users/karanocave/Code/SmartLabManagement/fronted/src/pages/project/detail/tabs/ReportsTab.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, -1, 0, 0
"/Users/karanocave/Code/SmartLabManagement/fronted/src/pages/project/detail/tabs/TasksTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, -1, 0
"/Users/karanocave/Code/SmartLabManagement/fronted/src/router/index.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 4
"/Users/karanocave/Code/SmartLabManagement/fronted/src/store/userStore.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"Total", "-", 1, 461, 3198, 2, -82, 40, 222, -3743, 5063, -1100, 4062
